"Qty";"Value";"Device";"Package";"Parts";"Description";"MANUFACTURER_PART_NUMBER";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"PROD_ID";"SF_SKU";"TP_SIGNAL_NAME";"VENDOR";
"1";"";"JP1E";"JP1";"JP5";"JUMPER";"";"";"";"";"";"";"";"";"";
"3";"";"LED10MM";"LED_10MM";"D1, D2, D3";"LED (Generic)";"";"";"";"";"";"";"";"";"";
"2";"";"PINHD-1X2";"1X02";"JP1, JP2";"PIN HEADER";"";"";"";"";"";"";"";"";"";
"1";"";"PINHD-1X5";"1X05";"JP3";"PIN HEADER";"";"";"";"";"";"";"";"";"";
"1";"";"USBMOLEX";"USB-MINIB-THM-MOLEX";"CN1";"USB Connectors";"";"";"";"";"";"";"";"";"";
"2";"0.1uf";"C-EUC0805";"C0805";"C6, C8";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";
"1";"100n";"C-EUC0805";"C0805";"C1";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";
"6";"10k";"R-US_R0805";"R0805";"R5, R6, R7, R8, R9, R10";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";
"3";"10uf";"C-EUC0805";"C0805";"C4, C5, C7";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";
"1";"2N2222";"2N2222";"TO92-EBC-OVAL";"T1";"NPN TRANSISTOR";"";"";"";"";"";"";"";"";"";
"1";"2k5 50mA";"L-USL3216C";"L3216C";"L1";"INDUCTOR, American symbol";"";"";"";"";"";"";"";"";"";
"2";"330";"R-US_R0805";"R0805";"R3, R4";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";
"2";"6k";"R-US_R0805";"R0805";"R1, R2";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";
"1";"F/CM04P";"F/CM04P";"F/CM04P";"SG1";"BUZZER Source: Buerklin";"";"";"";"unknown";"unknown";"";"";"";"";
"1";"IP4220CZ6";"IP4220CZ6";"SOT457";"U2";"";"IP4220CZ6";"";"";"";"";"";"";"";"NXP";
"1";"MCP1802T-3302I/OT";"MCP1802T-3302I/OT";"SOT-23-5_MC";"U3";"";"MCP1802T3302IOT";"";"";"";"";"";"";"";"Microchip";
"2";"SPST";"MOMENTARY-SWITCH-SPST-PTH-6.0MM";"TACTILE_SWITCH_PTH_6.0MM";"S1, S2";"Momentary Switch (Pushbutton) - SPST";"";"";"";"";"";" SWCH-08441";"COM-00097";"";"";
"1";"STM32F042K6";"STM32F042K6";"QFP32-7X7";"U1";"";"";"";"";"";"";"";"";"";"";
"7";"TPB2,54";"TPB2,54";"B2,54";"TP1, TP2, TP3, TP4, TP5, TP6, TP7";"Test pad";"";"";"";"";"";"";"";"";"";
